label,taxonomy,locus,exon_count
_SCAPTOMYZA_PARVA.nanopore_contig_49_1_-_putative_cdtb4_translation,Drosophilidae,1,2
_SCAPTOMYZA_PARVA.nanopore_contig_49_1_-_putative_cdtb1_translation,Drosophilidae,1,1
_SCAPTOMYZA_PARVA.nanopore_contig_49_1_-_cdtB2_translation,Drosophilidae,1,2
_SCAPTOMYZA_HSUI.GCA_018152825_JAECXO010000269.1_extraction_-_putative_cdtb_translation,Drosophilidae,1,2
_SCAPTOMYZA_REDUCTA.nanopore_contig_638_1_extraction_3_-_putative_cdtb2_translation,Drosophilidae,1,2
_SCAPTOMYZA_REDUCTA.nanopore_contig_638_1_extraction_-_putative_cdtb1_translation,Drosophilidae,1,2
_SCAPTOMYZA_REDUCTA.nanopore_contig_638_1_extraction_-_putative_cdtb4_translation,Drosophilidae,1,2
_SCAPTOMYZA_REDUCTA.nanopore_contig_638_1_extraction_-_putative_cdtb6_translation,Drosophilidae,1,2
_SCAPTOMYZA_REDUCTA.nanopore_contig_638_1_extraction_-_putative_cdtb3_translation,Drosophilidae,1,2
_SCAPTOMYZA_REDUCTA.nanopore_contig_638_1_extraction_2_-_putative_cdtB_3__translation,Drosophilidae,1,2
_SCAPTOMYZA_REDUCTA.nanopore_contig_638_1_extraction_-_gene__reversed__-_gene_-_putative_cdtb5_fixed_translation,Drosophilidae,1,2
_SCAPTOMYZA_CYRTANDRAE.nanopore_contig_785_1_-_putative_cdtb_translation,Drosophilidae,1,1
_SCAPTOMYZA_TUMIDULA.nanopore_contig_227_1_-_putative_cdtb2_translation,Drosophilidae,1,2
_SCAPTOMYZA_TUMIDULA.nanopore_contig_227_1_-_putative_cdtb1_translation,Drosophilidae,1,2
_HIRTODROSOPHILA_ALBORALIS.nanopore_contig_660_1_-_putative_cdtb_translation,Drosophilidae,1,1
_DROSOPHILA_FUNEBRIS.GCA_958295475_OY282425.1_-_CDS_translation,Drosophilidae,1,1
_DROSOPHILA_LIMBATA.GCA_963924055_OZ001353.1_-_putative_cdtB2_translation,Drosophilidae,1,1
_DROSOPHILA_GUTTIFERA.nanopore_356669_-_putative_cdtb1_translation,Drosophilidae,1,1
_DROSOPHILA_SUBOCCIDENTALIS.nanopore_contig_2266_1_-_cdtb4_translation,Drosophilidae,1*,1
_DROSOPHILA_SUBOCCIDENTALIS.nanopore_contig_1617_1_-_cdtb2_translation,Drosophilidae,1,1
_DROSOPHILA_SUBPALUSTRIS.GCA_054883435.1_JBREYA010000008.1_-_putative_cdtb2_translation,Drosophilidae,1,2
_DROSOPHILA_RELLIMA.nanopore_contig_990_1_-_CdtB_translation,Drosophilidae,1,1
_ZAPRIONUS_BOGORIENSIS.nanopore_contig_5_extraction_-_putative_CdtB_CDS_translation,Drosophilidae,1,1
_ZAPRIONUS_GHESQUIEREI.GCA_018904095_JAEIGP0100008_-_cdtb_translation,Drosophilidae,1,1
_ZAPRIONUS_TARONUS.GCA_018901805_JAEIFH010000789.1_-_CdtB_translation,Drosophilidae,3,1
_ZAPRIONUS_DAVIDI.GCA_018903715_JAEIGL010000005.1_-_cdtB_translation,Drosophilidae,3,1
_ZAPRIONUS_LACHAISEI.GCA_018901815_JAEIFI010000763_-_putative_cdtb_translation,Drosophilidae,3,1
_ZAPRIONUS_NIGRANUS.GCA_018903425_JAEIGD010000012._extraction_Copy_-_putative_cdtb_translation,Drosophilidae,3,1
_ZAPRIONUS_CAMEROUNENSIS.GCA_018904165_JAEIFS01000_-_cdtb_translation,Drosophilidae,3,1
_ZAPRIONUS_CAPENSIS.GCA_018903675_JAEIFN010000040._-_putative_cdtB_translation,Drosophilidae,3,1
_ZAPRIONUS_ORNATUS.GCA_018904035_JAEIFZ010000002.1_-_CdtB_translation,Drosophilidae,3,1
_ZAPRIONUS_MEGALORCHIS.GCA_051940805.1_JBNRRO010000264_-_cdtb__translation,Drosophilidae,3,1
_DROSOPHILA_BIZONATA_JBGOSG010001004_-_putative_cdtb_translation,Drosophilidae,1,2
_DROSOPHILA_HISTRIO.GCA_958299025_OY282580.2_-_CdtB_1_translation,Drosophilidae,1*,2
_DROSOPHILA_PUTRIDA.nanopore_contig_1597_1_extraction_-_putative_cdtb2_translation,Drosophilidae,1,2
_DROSOPHILA_TESTACEA.nanopore_contig_847_1_extraction_-_cdtB2_predictedORF_translation,Drosophilidae,1,1
_DROSOPHILA_ORIENTACEA.GCA_051314205.1_JBGOSF010000629__-_putative_cdtb_translation,Drosophilidae,1,2
_DROSOPHILA_KUNTZEI.nanopore_contig_1629_1_-_putative_cdtb_translation,Drosophilidae,NA,2
_DROSOPHILA_HISTRIO.GCA_958299025_OY282580.2_-_cdtB_2_translation,Drosophilidae,1,2
_DROSOPHILA_TESTACEA.nanopore_contig_418_1_extraction_-_putative_cdtb_translation,Drosophilidae,1,1
_DROSOPHILA_PUTRIDA.nanopore_contig_1597_1_extraction_Copy_-_putative_cdtb1_translation,Drosophilidae,1,1
_DROSOPHILA_GUTTIFERA.nanopore_356669_-_putative_cdtb2_translation,Drosophilidae,1,2
_DROSOPHILA_SUBOCCIDENTALIS.nanopore_contig_1617_1_-_cdtb1_translation,Drosophilidae,1,2
_DROSOPHILA_SUBOCCIDENTALIS.nanopore_contig_2266_1_-_cdtb3_translation,Drosophilidae,1*,2
_DROSOPHILA_QUINARIA.nanopore_contig_264_-_putative_cdtb_translation,Drosophilidae,1,2
_DROSOPHILA_LIMBATA.GCA_963924055_OZ001353.1_-_cdtB1_translation,Drosophilidae,1,2
_DROSOPHILA_RECENS.nanopore_contig_2966_1_-_putative_cdtb1_translation,Drosophilidae,1,2
_DROSOPHILA_PALUSTRIS.GCA_051621885.1_JBNQSE010000068.1_-_putative_cdtb_translation,Drosophilidae,1,2
_DROSOPHILA_SUBPALUSTRIS.GCA_054883435.1_JBREYA010000008.1_-_cdtb1_translation,Drosophilidae,1,2
_DROSOPHILA_SUBQUINARIA.nanopore_contig_3931_1_-_putative_cdtb_translation,Drosophilidae,1,2
_DROSOPHILA_SUBPALUSTRIS.GCA_054883435.1_JBREYA010000008.1_-_cdtb3_translation,Drosophilidae,1*,2
XP_055906676.1_cytolethal_distending_toxin_subunit_B-like__Eupeodes_corollae_,Insect,NA,2
KAJ1521711.1_hypothetical_protein_ONE63_003353__Megalurothrips_usitatus_,Insect,NA,2
AYB48739.1_hypothetical_protein_CJJ19_03870__Candidatus_Williamhamiltonella_defendens_,Endosymbiont,NA,1
WP_016857353.1_cytolethal_distending_toxin_subunit_B_family_protein__Candidatus_Williamhamiltonella_defendens_,Endosymbiont,NA,1
CAB3775476.1_Putative_cytolethal_distending_toxin_nuclease_subunit_CdtB__Bacteriophage_APSE-2_,Endosymbiont,NA,1
WP_015874046.1_cytolethal_distending_toxin_subunit_B_family_protein__Candidatus_Williamhamiltonella_defendens_,Endosymbiont,NA,1
KAK7604652.1_hypothetical_protein_V9T40_005838__Parthenolecanium_corni_,Insect,NA,1
_LEUCOPHENGA_SP_EGD-2024J.GCA_054121915.1_JBNNEK010158316.1_-_putative_cdtb_translation,Drosophilidae,6,1
_LEUCOPHENGA_VARIA.GCA_018903435_JAEIFJ010001161.1_extraction_Copy_-_putative_cdtB_translation,Drosophilidae,6,1
WP_174888474.1_endonuclease/exonuclease/phosphatase_family_protein__Candidatus_Williamhamiltonella_defendens_,Endosymbiont,NA,1
WP_265024929.1_MULTISPECIES__endonuclease/exonuclease/phosphatase_family_protein__unclassified_Wolbachia_,Endosymbiont,NA,1
CAB3775433.1_Putative_cytolethal_distending_toxin_nuclease_subunit_CdtB__Bacteriophage_APSE-7_,Endosymbiont,NA,1
RXK33846.1_hypothetical_protein_BBD39_07330__Arsenophonus_endosymbiont_of_Bemisia_tabaci_Asia_II_3_,Endosymbiont,NA,1
WP_174889373.1_endonuclease/exonuclease/phosphatase_family_protein__Candidatus_Williamhamiltonella_defendens_,Endosymbiont,NA,1
AMD43717.1_cytolethal_distending_toxin_subunit_B__Bacteriophage_APSE_,Endosymbiont,NA,1
XCA34573.1_MAG__hypothetical_protein_ABS861_04190__Wolbachia_endosymbiont_of_Oeneis_ivallda_,Endosymbiont,NA,1
WP_456624414.1_MULTISPECIES__exonuclease/endonuclease/phosphatase_family_protein__unclassified_Bradyrhizobium_,Proteobacteria,NA,1
WP_352217447.1_RICIN_domain-containing_protein__Streptomyces_sp._NPDC097981_,Actinobacteria,NA,1
WP_450299296.1_RICIN_domain-containing_protein__Streptomyces_klenkii_,Actinobacteria,NA,1
WP_385962485.1_RICIN_domain-containing_protein__Streptomyces_syringium_,Actinobacteria,NA,1
WP_116214673.1_endonuclease/exonuclease/phosphatase_family_protein__Streptomyces_olivoreticuli_,Actinobacteria,NA,1
WP_365037478.1_RICIN_domain-containing_protein__Streptomyces_sp._NPDC089919_,Actinobacteria,NA,1
WP_359839684.1_endonuclease/exonuclease/phosphatase_family_protein__Kitasatospora_sp._NPDC005748_,Actinobacteria,NA,1
WP_478325279.1_endonuclease/exonuclease/phosphatase_family_protein__Kitasatospora_purpeofusca_,Actinobacteria,NA,1
WP_330294331.1_RICIN_domain-containing_protein__Streptomyces_sp._NBC_00503_,Actinobacteria,NA,1
WP_373918766.1_RICIN_domain-containing_protein__Streptomyces_sp._AB3_2024__,Actinobacteria,NA,1
MFD2121742.1_RICIN_domain-containing_protein__Streptomyces_cirratus_,Actinobacteria,NA,1
WP_468761357.1_RICIN_domain-containing_protein__Streptomyces_sp._NPDC032091_,Actinobacteria,NA,1
WP_389285114.1_RICIN_domain-containing_protein__Streptomyces_sp._NPDC005784_,Actinobacteria,NA,1
WP_399250848.1_RICIN_domain-containing_protein__Streptomyces_sp._NPDC051366_,Actinobacteria,NA,1
WP_401000248.1_RICIN_domain-containing_protein__Kitasatospora_sp._NPDC088346_,Actinobacteria,NA,1
WP_361636587.1_MULTISPECIES__RICIN_domain-containing_protein__unclassified_Streptomyces_,Actinobacteria,NA,1
WP_468832400.1_RICIN_domain-containing_protein__Streptomyces_sp._NPDC033221_,Actinobacteria,NA,1
WP_466388894.1_endonuclease/exonuclease/phosphatase_family_protein__Streptomyces_goshikiensis_,Actinobacteria,NA,1
WP_355452331.1_endonuclease/exonuclease/phosphatase_family_protein__Lentzea_sp._NPDC004782_,Actinobacteria,NA,1
WP_071653124.1_endonuclease/exonuclease/phosphatase_family_protein__Vibrio_parahaemolyticus_,Proteobacteria,NA,1
WP_399057321.1_endonuclease/exonuclease/phosphatase_family_protein__Streptomyces_sp._NPDC050485_,Actinobacteria,NA,1
WP_451419973.1_endonuclease/exonuclease/phosphatase_family_protein__Streptomyces_sp._NPDC002536_,Actinobacteria,NA,1
WP_361819124.1_endonuclease/exonuclease/phosphatase_family_protein__Streptomyces_sp._NPDC050844_,Actinobacteria,NA,1
WP_380442476.1_MULTISPECIES__endonuclease/exonuclease/phosphatase_family_protein__unclassified_Kitasatospora_,Actinobacteria,NA,1
WP_293227593.1_endonuclease/exonuclease/phosphatase_family_protein__Paludibacterium_sp._,Actinobacteria,NA,1
MBX2821724.1_endonuclease/exonuclease/phosphatase_family_protein__Rhodothermaceae_bacterium_,Rhodothermota,NA,1
WP_207098655.1_endonuclease/exonuclease/phosphatase_family_protein__Allomuricauda_sp._CAU_1633_,Bacteriodetes,NA,1
MFZ5817640.1_endonuclease/exonuclease/phosphatase_family_protein__Bacillota_bacterium_,Firmicutes,NA,1
WP_474300983.1_exonuclease/endonuclease/phosphatase_family_protein__Micromonospora_sp._IBHARD003_,Actinobacteria,NA,1
MGL4178732.1_endonuclease/exonuclease/phosphatase_family_protein__Dermatophilaceae_bacterium_,Actinobacteria,NA,1
WP_307983631.1_exonuclease/endonuclease/phosphatase_family_protein__uncultured_Helicobacter_sp._,Proteobacteria,NA,1
WP_285257705.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_zhangjianzhongii_,Proteobacteria,NA,1
WP_474951214.1_cytolethal_distending_toxin_subunit_B_family_protein__Enterobacter_kobei_,Proteobacteria,NA,1
HFV9915907.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._diarizonae_serovar_61_l_v_z35_,Proteobacteria,NA,1
WP_033534345.1_cytolethal_distending_toxin_subunit_B_family_protein__Bordetella_trematum_,Proteobacteria,NA,1
WP_423235106.1_cytolethal_distending_toxin_subunit_B_family_protein__Amphibiibacter_pelophylacis_,Proteobacteria,NA,1
WP_335265176.1_cytolethal_distending_toxin_subunit_B_family_protein__Enterobacter_cloacae_,Proteobacteria,NA,1
WP_032479052.1_cytolethal_distending_toxin_subunit_B_family_protein__Vibrio_cholerae_,Proteobacteria,NA,1
WP_045718172.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_059330987.1_cytolethal_distending_toxin_subunit_B_family_protein__Escherichia_coli_,Proteobacteria,NA,1
EAA0700322.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._enterica_serovar_Nottingham_,Proteobacteria,NA,1
WP_080675667.1_MULTISPECIES__cytolethal_distending_toxin_nuclease_subunit_CdtB__Providencia_,Proteobacteria,NA,1
HDV2175822.1_cytolethal_distending_toxin_type_III/V_nuclease_subunit_CdtB__Escherichia_coli_,Proteobacteria,NA,1
WP_059225372.1_cytolethal_distending_toxin_type_II_nuclease_subunit_CdtB__Escherichia_albertii_,Proteobacteria,NA,1
EOC6102864.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
HGB5310574.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._enterica_serovar_Poona_,Proteobacteria,NA,1
ECY4647021.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._enterica_serovar_Eastbourne_,Proteobacteria,NA,1
EAO6410082.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_071991045.1_cytolethal_distending_toxin_subunit_B_family_protein__Edwardsiella_hoshinae_,Proteobacteria,NA,1
EKC2495425.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
EBP4586383.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_080102909.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
ELO0596441.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_079814070.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
MEG0197157.1_cytolethal_distending_toxin_subunit_B_family_protein__Acinetobacter_sp._,Proteobacteria,NA,1
WP_112054526.1_cytolethal_distending_toxin_subunit_B_family_protein__Escherichia_coli_,Proteobacteria,NA,1
WP_256487890.1_cytolethal_distending_toxin_type_I_nuclease_subunit_CdtB__Escherichia_coli_,Proteobacteria,NA,1
WP_274421035.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__unclassified_Aliivibrio_,Proteobacteria,NA,1
WP_079774830.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_bongori_,Proteobacteria,NA,1
EDU9489020.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._enterica_,Proteobacteria,NA,1
WP_094947506.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
EAB8208130.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._enterica_serovar_Lattenkamp_,Proteobacteria,NA,1
WP_127174379.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
EDV9437092.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._enterica_,Proteobacteria,NA,1
WP_226312038.1_cytolethal_distending_toxin_S-CDT__Salmonella_enterica_,Proteobacteria,NA,1
SUG34433.1_cytolethal_distending_toxin_subunit_CdtB__Salmonella_enterica_subsp._arizonae_,Proteobacteria,NA,1
MDJ6960435.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_070789212.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
EKJ9429408.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_052936135.1_cytolethal_distending_toxin_S-CDT__Salmonella_enterica_,Proteobacteria,NA,1
EAW0877979.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_416231217.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_193830334.1_cytolethal_distending_toxin_subunit_B_family_protein__Morganella_morganii_,Proteobacteria,NA,1
ECQ8982995.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_subsp._enterica_,Proteobacteria,NA,1
MGL6882164.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_sp._NW1190_,Proteobacteria,NA,1
WP_080070169.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_479627405.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
EKK3319939.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_071645901.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
EGO7252728.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_094299877.1_cytolethal_distending_toxin_subunit_B_family_protein__Salmonella_enterica_,Proteobacteria,NA,1
WP_261490199.1_cytolethal_distending_toxin_subunit_B_family_protein__Glaesserella_parasuis_,Proteobacteria,NA,1
NBI13086.1_cytolethal_distending_toxin_subunit_B_family_protein___Haemophilus__felis_,Proteobacteria,NA,1
MDO4698090.1_cytolethal_distending_toxin_subunit_B_family_protein__Pasteurellaceae_bacterium_,Proteobacteria,NA,1
QIM63024.1_cytolethal_distending_toxin_subunit_CdtB__Pasteurellaceae_bacterium_Orientalotternb1_,Proteobacteria,NA,1
WP_123956187.1_cytolethal_distending_toxin_subunit_B_family_protein__Frederiksenia_canicola_,Proteobacteria,NA,1
WP_454445098.1_cytolethal_distending_toxin_subunit_B_family_protein__Ursidibacter_arcticus_,Proteobacteria,NA,1
MCK3655855.1_cytolethal_distending_toxin_subunit_CdtB__Pasteurellaceae_bacterium_Macca_,Proteobacteria,NA,1
WP_078236797.1_cytolethal_distending_toxin_subunit_B_family_protein__Haemophilus_paracuniculus_,Proteobacteria,NA,1
WP_132023582.1_cytolethal_distending_toxin_subunit_B_family_protein__Bisgaardia_hudsonensis_,Proteobacteria,NA,1
WP_229510031.1_cytolethal_distending_toxin_subunit_B_family_protein__Pasteurella_canis_,Proteobacteria,NA,1
WP_005567793.1_cytolethal_distending_toxin_nuclease_subunit_Aa-CdtB__Aggregatibacter_actinomycetemcomitans_,Proteobacteria,NA,1
WP_078218785.1_cytolethal_distending_toxin_subunit_B_family_protein__Canicola_haemoglobinophilus_,Proteobacteria,NA,1
MBN6710110.1_cytolethal_distending_toxin_subunit_B_family_protein__Canicola_haemoglobinophilus_,Proteobacteria,NA,1
WP_265473595.1_cytolethal_distending_toxin_subunit_B_family_protein__Mergibacter_septicus_,Proteobacteria,NA,1
WP_119525018.1_cytolethal_distending_toxin_subunit_B_family_protein__Psittacicella_hinzii_,Proteobacteria,NA,1
WP_395896082.1_cytolethal_distending_toxin_subunit_B_family_protein__Avibacterium_sp._20-126_,Proteobacteria,NA,1
WP_415777543.1_cytolethal_distending_toxin_subunit_B_family_protein__Avibacterium_endocarditidis_,Proteobacteria,NA,1
WP_065236386.1_cytolethal_distending_toxin_subunit_B_family_protein__Gallibacterium_genomosp._3_,Proteobacteria,NA,1
WP_382370427.1_cytolethal_distending_toxin_subunit_B_family_protein__Gallibacterium_trehalosifermentans_,Proteobacteria,NA,1
WP_410680978.1_cytolethal_distending_toxin_subunit_B_family_protein__Avibacterium_paragallinarum_,Proteobacteria,NA,1
WP_002849489.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_,Proteobacteria,NA,1
WP_038453468.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_fetus_,Proteobacteria,NA,1
WP_095227920.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_sp._13S00401-1_,Proteobacteria,NA,1
WP_095278414.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_sp._11S02629-2_,Proteobacteria,NA,1
WP_075495167.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_geochelonis_,Proteobacteria,NA,1
WP_038452504.1_cytolethal_distending_toxin_subunit_B_family_protein__Campylobacter_iguaniorum_,Proteobacteria,NA,1
WP_059434257.1_cytolethal_distending_toxin_nuclease_subunit_Ch-CdtB__Campylobacter_hyointestinalis_,Proteobacteria,NA,1
WP_027326993.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_pametensis_,Proteobacteria,NA,1
WP_104696791.1_MULTISPECIES__cytolethal_distending_toxin_subunit_B_family_protein__unclassified_Helicobacter_,Proteobacteria,NA,1
MDE5602646.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_sp._,Proteobacteria,NA,1
WP_115568924.1_cytolethal_distending_toxin_subunit_B_family_protein__Helicobacter_brantae_,Proteobacteria,NA,1
WP_300223458.1_cytolethal_distending_toxin_subunit_B_family_protein__uncultured_Helicobacter_sp._,Proteobacteria,NA,1
